id,sent1,sent2,label,annotation1,annotation2
33,"Get it all out,"" says Howard Davidowitz, chairman of Davidowitz & Associates, a national retail consulting firm based in New York City.","Innocent or not, ""she's damaged goods,"" said Howard Davidowitz, chairman of Davidowitz & Associates, a national retail consulting firm in New York.",0,Correct  quotes by Davidowitz are different.  But material describing his background dominate the sentence and system thinks it is a paraphrase.,*not a paraphrase; quoted material is different;
34,"The three men have pleaded not guilty and their lawyers have asked the High Court to dismiss the charges, saying the state has failed to present a solid case.","Defense lawyers asked the High Court to dismiss the charges, saying the state has failed to present a solid case.",0,"Correct  subtle - there is a lot of text in common, but that remaining but is subsumption",A contains more information; The three men have pleaded not guilty -> 0;
35,"""Americans don't cut and run, we have to see this misadventure through,"" she said.","She also pledged to bring peace to Iraq: ""Americans don't cut and run, we have to see this misadventure through.""",0,"Correct  important information issue with ""pledged to bring peace to iraq""",B contains more than A; She also pledged to bring peace to Iraq: -> 0
36,"Ultimately, she will earn more than the $900,000 that Kenny Perry got for winning the PGA Tour event.",But she'll earn more than the $900000 (about R7.5-million) Kenny Perry got for winning.,1,Correct  Not sure why system doesn't get this - inclusion of too much other material like R7.5mil and PGA tour event?  But this material doesn't change the meaning.,the PGA Tour event -> 0; 0 -> (about R7.5-million);
37,"""I had no direct interest and Craxi begged me to intervene because he believed the operation damaged the state,"" he told a packed courtroom during a 45-minute address.","""I had no direct interest, and Craxi begged me to intervene because he believed that the operation damaged the state,"" Mr. Berlusconi said.",0,"Incorrect  Anaphora with Berlusconi, and 45min address is superfluous.  Everything else is almost exactly the same.  System gets it right",A contains extra material about place and time; a packed courtroom during a 45-minute address -> 0;
38,"In two weeks, he'll probably send out Peace Rules in the Preakness.",Frankel said Peace Rules will run in the Preakness Stakes on May 17.,1,"Incorrect?  Not sure about this one, I think this requires lots of world knowledge to get right.  But there is a difference between sending out peace rules and sayign he will run.",in two weeks -> on May 17; send out -> will run (requires general knowledge);
39,The CGT warned of prolonged industrial action unless Raffarin agreed.,The large CGT union warned France of lengthy industrial action.,0,Correct  Missing semantic difference of unless Raffarin agreed.  Everything else pretty much the same so it trips up system.,short sentence; unless Raffarin agreed -> 0; 0 -> warned France;
40,"Last year, he made an unsuccessful bid for the Democratic nomination for governor.","He ran last year for the Democratic nomination for Texas governor, but lost the primary to multimillionaire Tony Sanchez.",1,"Correct  ?  Not sure if the Tony Sanchez information difference should make this semantically different, I guess the main point that he lost last year is maintained.  System doesn't call it paraphrase because",B contains more than A; 0 -> but lost the primary to multimillionaire Tony Sanchez;
41,"Lowe's, with about half as many stores, reported a 33 percent increase in third-quarter profit behind a 12 percent jump in same-store sales.",Home Depot reported a 22 percent jump in third-quarter profit behind a nearly 8 percent rise in same-store sales.,0,"Correct  Numbers AND store are wrong, but general template is the same - tripping up system.",names are different; Lowe's -> Home Depot; numbers do not match; with about half as many stores -> 0;
42,The daily Hurriyet said the raid aimed to foil a Turkish plot to kill an unnamed senior Iraqi official in Kirkuk.,"The daily Hurriyet said the raid aimed to foil a Turkish plot to kill an unnamed senior Iraqi Kurdish official in Kirkuk, but Gul has denied any Turkish plot.",0,Correct  s2 adds additional information (Causality),B subsumes A; 0 -> but Gul has denied any Turkish plot
43,He said the FDA was hoping Congress and the courts would bring clarity to the situation and some financial relief to consumers.,He said FDA hopes Congress and the courts will bring clarity to the situation and some financial relief to consumers - perhaps before the 2004 elections.,0,"Correct  I guess the date sort of makes it different?  But for the most part, the sentences are matched almost exactly save for that extra phrase.",B contains more than A; 0 -> perhaps before the 2004 elections;
44,"Of 24 million phoned-in votes, 50.28 percent were for Studdard, putting him 130,000 votes ahead of Aiken.","Of the 24 million phone votes cast, Studdard was only 130,000 votes ahead of Aiken.",0,"Incorrect  This seems borderline to me.  The content is the same, but not sure if the 50.28% is enough of a difference to knock it to non-paraphrase as originally annotated.",arguably a paraphrase; A contains more than B; 50.28 percent -> 0;
45,"This is America, my friends, and it should not happen here,"" he said to loud applause.","""This is America, my friends, and it should not happen here.""",0,Incorrect?  Missing the attribution?,an exact copy of a quotation; he said to loud applause -> 0;
46,"State Democratic Chairman Herman Farrell, who is also chairman of the state Assembly's Ways and Means Committee, seemed perfectly happy to make it a political fight.","State Democratic Chairman Herman Farrell, who is also chairman of the Assembly's Ways and Means Committee, supports the Legislature's budget plan.",0,Correct  Yeah there is enough intention difference here: perfectly happy to make it a political fight vs. supports Legislature's budget plan.  I think the programs get tripped up because there is such strong direct overlap in the first 66% of the sentence.,seemed perfectly happy to make it a political fight -> 0; 0 -> supports the Legislature's budget plan;
47,"Thirty-three of the 42 men had been arrested by Wednesday evening, said Daniel Bogden, U.S. attorney in Nevada.","Thirty-four of the men have been arrested and the others are being sought, US Attorney Daniel Bogden said yesterday.",0,"Correct  number of men are different, date is missing and others being sought are missing.  There are a lot of fragment overlaps, but subtle differences change the meaning.",33 -> 34; 42 -> 0; minor differences;
48,"Hilsenrath was also indicted on 33 counts of wire fraud, which each carry a maximum penalty of five years in prison, a $250,000 fine and restitution.","Each of those counts carries a maximum penalty of five years in prison and a $250,000 fine plus restitution.",0,"Correct  Yeah these are not semantically equivalent, I agree with annotation.  That first part is just not captured and actually makes a difference in the meaning I think, this one is tough for a system given all the other subsumption things it has to deal with.",A contains more than B; Hilsenrath was also indicted on 33 counts of wire fraud -> 0;
49,"The valid signatures of 897,158 registered California voters must be collected and turned in to county election officials by Sept. 2.","To force a recall election of Davis, the valid signatures of 897,158 registered California voters must be turned in to election officials.",0,"Incorrect  The date hasn't made a difference in other sentences, I feel this is really splitting hairs.",B contains more information than A;  0 -> To force a recall election of Davis;
50,"The Coast Guard airlifted the survivors to Bartlett Regional Hospital, Wetherell said.","Soon after, a Coast Guard helicopter landed and took the men to Bartlett Regional Hospital, Mills said.",1,Incorrect  This could be correct but the survivors --> men is a sort of tough inference for a system to make.  But the attribution is off...Wetherell is replaced by Mills.,airlifted -> helicopter landed and took; different names;
51,"And of those, 149, or 55%, ""claimed to treat, prevent, diagnose or cure specific diseases.""","And of those, 55 percent, or 149, claimed to treat, prevent, diagnose or cure specific diseases -- despite the regulations prohibiting that kind of statement.",0,"Correct  this is borderline for me, but I guess that second clause changes the semantics enough.  How come the MT metrics like this?  This is a lot of new material that is added to the sentence.",B contains information not in A; 0 -> despite the regulations prohibiting that kind of statement;
52,Several states and the federal government later passed similar or more strict bans.,"Following California's lead, several states and the federal government passed similar or tougher bans.",0,"Incorrect  Not sure why this is marked as not a paraphrase, seems ok with me.  Does California make that big of a difference?  Maybe this is the casaulity thing.",arguably a paraphrase; 0 -> Following California's lead;
53,I'm never going to forget this day.,"I am never going to forget this throughout my life.""",1,Incorrect  s2 doesn't have what should be forgotten.,short sentence; 0 -> throughout my life;
54,"The security official's backup couldn't fill in because he was on active military duty, Strutt said.","The security official's backup was on active duty, and the lottery association didn't have a replacement in New Jersey, Strutt said.",0,"Incorrect  This is like the Liza Minelli example on p.12 - some minor information added, but still counts as a paraphrase.  The information added here is the lottery association, which I bet could be found in another sentence in the original sentence's context.",B has more information than A; 0 -> and the lottery association didn't have a replacement in New Jersey;
55,These are real crimes that hurt a lot of people.,"""These are real crimes that disrupt the lives of real people,"" Smith said.",1,"Incorrect  This is an annotation inconsistency - in other examples if the attribution was not included, it would be marked as NotPara by the humans.  I guess the quote is more or less a paraphrase, though ""hurt a lot of people"" and ""disrupt lives..."" may be a tough para for a sytsem to get.",very short sentence; B contains more information than A; 0 -> Smith said;
56,The other semifinal between Guillermo Coria of Argentina and Martin Verkerk of the Netherlands is also compelling.,"The other, much less likely semifinal will match seventh-seeded Guillermo Coria of Argentina against the unseeded Dutchman Martin Verkerk.",0,"Correct  chunks of first sentence are correct, but the other part changes things (is also compelling vs. much less likely semifinal)...",between -> will match; is also compelling -> 0; B has more detail in the description of the individuals (named entity recognition could help);
57,"The broad Standard & Poor's 500 Index .SPX gained 22.25 points, or 2.23 percent, to 1,018.22, based on the latest available figures.","The broad Standard & Poor's 500 Index .SPX gained 11.22 points, or 1.13 percent, at 1,007.19.",1,"Depends (Correct) - difference between annotation and system analysis   If you remove all the numbers, then yeah these are direct paraphrases.  But the system doesn't do that and so sees a big difference, which is the correct thing to do.  Under the MSRP annotation guidelines these are paraphrases, but if numbers were not xxx'd out, then it wouldn't be a paraphrase.",not a paraphrase; numbers do not match;
58,Aiken's study appears in the Sept. 24 issue of the Journal of the American Medical Association.,The findings appear in Wednesday's Journal of the American Medical Association.,1,Correct  System gets this wrong because this requires a lot of inference:  Aiken;s study --> findings Sep 24 issue --> Wed issue,anaphoric reference;
59,"""The integration is exceeding almost every expectation we set for ourselves,"" Mr Roberts said on Thursday.","It's manageable, and the integration is exceeding ""almost every expectation we set for ourselves.""",0,"Correct  I guess if we call removing the attribution as changing the meaning, then yes MSRP is correct, though the underlying statement is semantically equivalent.",A contains the speaker and time; matching quotations;
60,"He urged Congress to ""send me the final bill as soon as possible so that I can sign it into law.""","""I urge Congress to quickly resolve any differences and send me the final bill as soon as possible so that I can sign it into law,"" he said.",0,Incorrect  I think this is pretty much the same thing.  The resolve differences phrase shouldnt make that much of a difference.  System will mark as a paraphrase because a majority of the text is the same.,arguably a paraphrase; 0 -> quickly resolve any differences;
61,They certainly reveal a very close relationship between Boeing and senior Washington officials.,The e-mails reveal the close relationship between Boeing and the Air Force.,1,CORRECT  anaphora: they --> emails named entity: Washington officials --> Air Force,A is more specific; anaphoric reference; senior Washington officials -> the Air Force;
62,The leading actress nod went to energetic newcomer Marissa Jaret Winokur as Edna's daughter Tracy.,"Marissa Jaret Winokur, as Tracy, won for best actress in a musical.",1,"Correct  Lots of difficult transformations for a system.  ""leading actress nod"" --> ""won for best actress""  for example.",leading actress nod went to -> won for best actress in a musical;
63,Tennessee Titans quarterback Steve McNair apologized Thursday for his arrest hours earlier in Nashville on suspicion of drunken driving and illegal possession of a handgun.,Tennessee Titans quarterback Steve McNair was arrested Thursday and charged with drunken driving and possession of a handgun.,0,"Correct  One is about the apology, the other is about the act.  Lot of words in overlap, but subtle difference that may be hard for a system to get.",apologized for -> 0; A entails B;
64,"Federal and local officials, including Bush, saw no apparent sign of terrorism.",Federal officials earlier said there is no evidence of terrorism.,1,"Correct  Some minor differences: ""local officials"" is dropped and ""including Bush"" is dropped.  So the original sentence subsumes the second.",short sentence; including Bush -> 0; no apparent sign -> no evidence;
65,"Security experts are warning that a new mass-mailing worm is spreading widely across the Internet, sometimes posing as e-mail from the Microsoft founder.","A new worm has been spreading rapidly across the Internet, sometimes pretending to be an e-mail from Microsoft Chairman Bill Gates, antivirus vendors said Monday.",1,"Correct  Lots of transformations - inclusion of security experts, mass-mailing, widely --> rapidly, pretending --> posing, founder --> Bill Gates.  security-experts --> antivirus vendors.  probably all these transformations nudge the classifier from calling this paraphrase.",Security experts -> antivirus vendors (requires world knowledge); posing as -> pretending to be; word order;
66,Others keep records sealed for as little as five years or as much as 30.,Some states make them available immediately; others keep them sealed for as much as 30 years.,0,Borderline...but I guess incorrect since who knows if others = states (though the anaphora issue was waived for other examples I saw).  But little as five years vs. immediately is a big difference.  Much of the sentences are similar except for these few words so I can see how the system can call it paraphrase,as little as five years -> 0; 0 -> make them available immediately;
67,"Scrimshaw, Supervisor, Best Minister and Ten Most Wanted are expected to complete the Belmont field.","Best Minister, Scrimshaw, and Ten Most Wanted all had workouts on Monday morning.",0,Correct  s1 is about who will be competing and s2 is about the fact they had workouts.  The sentences are short so the names in the first half push things over the edge for the system?,??
68,"""Tomorrow at the Mission Inn, I have the opportunity to congratulate the governor-elect of the great state of California.","""I have the opportunity to congratulate the governor-elect of the great state of California, and I'm looking forward to it.""",0,Borderline  I could go either way on this one - correct or incorrect.  I can see how a system would call this a paraphrase since 2/3 of the sentence is almost exactly the same.,Tomorrow at the Mission Inn -> 0; 0 -> and I'm looking forward to it;
69,Prosecutors did an about-face in May and asked that the autopsy reports be unsealed after portions of Conner Peterson's autopsy report favorable to the defense were leaked to the media.,They asked that the autopsy reports be unsealed after portions of the autopsy report on Peterson's unborn son that were favorable to the defense were leaked to the media.,0,Not sure  I guess the differene is the about-face part in the beginning?  Everything else is really the same...,anaphoric reference; did an about-face in May -> 0; Conner Peterson -> Peterson's unborn son;
70,"The other 24 members are split between representatives of the securities industry and so-called ""public"" board members.","Of the 24 directors who are not exchange executives, half are representatives of the securities industry and half are designated public members.",1,Correct  Difficult transformations with half and split.,split between -> half are ... and half are; who are not exchange executives -> 0;
71,"The women said those rape victims who did come forward were routinely punished for minor infractions while their assailants escaped judgement, prompting most victims to remain silent.",The women said victims of rape who came forward routinely were punished for minor infractions while their assailants escaped judgment.,0,Correct  s2 misses the causality part...it's like the first part sets up the second.  Too much material overlap otherwise.,B contains less than A; prompting most victims to remain silent -> 0;
72,"In recent years, Hampton kept in touch with friends and stayed in trouble: He faced charges of fare-beating and credit card theft.","In recent years, Mr. Hampton continued to run into trouble, facing charges of fare-beating and credit-card theft.",0,"Incorrect  I think kept in touch with friends isn't that big of a deal, unless it is implied that these friends kept him in trouble, but would really need the context to figure this out.  I think under the circumstances it's ok for the system to mark this as a paraphrase.",kept in touch with friends -> 0;
73,"Besides Hampton and Newport News, the grant funds water testing in Yorktown, King George County, Norfolk and Virginia Beach.","The grant also funds beach testing in King George County, Norfolk and Virginia Beach.",0,Correct  I am guessing there is a difference between water testing (s1) and beach testing (s2).  System thinks this is a paraphrase because last half is basically the same save for that one water --> beach transformation.,probably should be judged a paraphrase by overlap criterion; Besides Hampton and Newport News -> 0;
74,"""Our strong preference is to achieve a financial restructuring out of court, and we remain hopeful we can do so,"" chief executive Marce Fuller said.","""Our strong preference is to achieve a financial restructuring out of court,"" Mirant CEO Marce Fuller said in a prepared statement early Friday.",0,"Incorrect  These seem pretty similar - main part of the quote is exactly the same, attribution is the same, conjunction of ""and we remain hopeful we can do so"" doesn't change much for me.",matching quotations; and we remain hopeful we can do so -> 0; 0 -> in a prepared statement early Friday;
75,Police using pepper spray arrested 12 people Monday night at a march and rally by about 400 activists protesting an annual training seminar of the Law Enforcement Intelligence Unit.,Police used pepper spray and rubber bullets to disperse a downtown march and rally last night by activists protesting an annual police intelligence-training seminar.,0,"Correct  Meaning difference - this is subtle for a machien to get - s1 seems to be more about the arresting of 12 people, while s2 is about the dispersing of the crowd.  Talking about the same event but different spins on it.  So a lot of the words are of course overlapping, but not semantically equivalent.",A contains more details;
76,"Penn Traffic's stock closed at 36 cents per share on Wednesday on Nasdaq, up two cents.","Penn Traffic stock closed Wednesday at 36 cents, up 2 cents, or 6.2 percent, from Tuesday's close.",0,Incorrect  Numbers are all right and dates are all right but the system marks this as a paraphrase which I think is totally fine.  Not sure why humans marked this as not a paraphase,"probably a paraphrase; 0 -> or 6.2 percent, from Tuesday's close;"
77,"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.",0,Incorrect  Information differences don't seem to really change semantic content.,B contains more than A; 0 -> who pleaded guilty in July;
78,"The report forecasts there will be 71,079 hot spots worldwide this year, up from just 14,752 in 2002 and 1,214 in 2001.","The report also claims that there will be up to 9.3 million visitors to hot spots this year, up again from the meagre 2.5 million in 2002.",0,"Correct  Not sure why system gets this as a paraphrase, the number are all off, though the basic sentence template is pretty similar.","the numbers differ; and 1,214 in 2001 -> 0;"
79,The Episcopal Diocese of Central Florida became one of the first in the nation Saturday to officially reject the national denomination's policies on homosexuality.,The Episcopal Diocese of Central Florida voted Saturday to repudiate a decision by the denomination's national convention to confirm a gay man as bishop.,1,Incorrect  I think s1 is more general than s2's specific repudiation claim.  I think system is right to call this non-para.,one of the first in the nation -> 0; officially reject -> vote to repudiate; policies homosexuality -> a gay man as bishop (requires general knowledge);
80,"Russian stocks fell after the arrest last Saturday of Mikhail Khodorkovsky, chief executive of Yukos Oil, on charges of fraud and tax evasion.","The weekend arrest of Russia's richest man, Mikhail Khodorkovsky, chief executive of oil major YUKOS, on charges of fraud and tax evasion unnerved financial markets.",0,"Incorrect?  I think we could easily find examples where inference would link fragments like ""russian stocks fell"" to ""unnerved financial markets"".  I think the system marking this as a paraphrase is fine.",arguably a paraphrase; Russian stocks fell after -> unnerved financial markets;
81,Ohio Attorney General Jim Petro hailed the appellate court ruling.,"Ohio Attorney General Jim Petro was pleased by the ruling, spokesman Mark Gribben said.",1,Correct ??  Again the attribution difference is ignored.  have to inference that the ac ruling in s1 is the ruling in s2.,hailed -> was pleased by; appellate court -> 0; 0 -> spokesman Mark Gribben said;
82,"Anything less is unacceptable,"" said Gordon, the ranking Democrat on the House Space and Aeronautics subcommittee.",Gordon is the senior Democrat on the House Subcommittee on Space and Aeronautics.,0,"Correct  System is way off here.   The gist of s1 is what Gordon said, which isn't in s2 ""Anything less is unacceptable""   But there is a majority of other material there that is highly overlapped to overrule the four words not in s2.","B is missing a quotation; Anything less is unacceptable,"" said Gordon -> 0;"
83,Wal-Mart estimates more than 100 million Americans visit their stores every week.,"Each week 138 million shoppers visit Wal-Mart's 4,750 stores.",1,Correct  Tough inference and sentence transformation.  more than 100mil ~ 138 mil for example.,not a paraphrase; Americans -> shoppers; numbers do not match;
